FtcAuto.startMode_INFO [0.004717125] ***** Starting autonomous: 20260118@123120 *****
FtcAuto.startMode_INFO [0.006388959] <Info name="MatchInfo" date="Sun Jan 18 12:29:53 PST 2026" type="QUALIFICATION" number=2 />
FtcAuto.startMode_INFO [0.007915542] <Info name="AutoChoices" startDelay=0 alliance="RED_ALLIANCE" startPos="GOAL_ZONE" strategy="DECODE_AUTO" classifierVision="NO" loadingPickup="NO" openGate="YES" spikeMarkCount=2 shootDelay1=0 shootDelay2=0 shootDelay3=0 parkOption="CLASSIFIER_PARK" xTarget=4.0 yTarget=4.0 turnTarget=90 driveTime=5 drivePower=0.5 />
FtcAuto.startMode_INFO [0.008781209] Obelisk AprilTag 21: [Green, Purple, Purple]
TaskAutoShoot.autoTask_INFO [1.911385775] <Event name="StateInfo" time="1.911065525" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.913118567] <Event name="StateInfo" time="1.912770317" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.914847859] <Event name="StateInfo" time="1.914091859" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.916600776] <Event name="StateInfo" time="1.91625515" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.918127359] <Event name="StateInfo" time="1.917784359" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.920462734] <Event name="StateInfo" time="1.920126151" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.921567276] <Event name="StateInfo" time="1.921227193" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.923757693] <Event name="StateInfo" time="1.923441235" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.92563311] <Event name="StateInfo" time="1.924899568" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.927190027] <Event name="StateInfo" time="1.926905943" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.928635527] <Event name="StateInfo" time="1.928284652" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.93025136] <Event name="StateInfo" time="1.929955902" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.932095277] <Event name="StateInfo" time="1.931737985" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.933812611] <Event name="StateInfo" time="1.933507527" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.934978111] <Event name="StateInfo" time="1.934637444" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.937261569] <Event name="StateInfo" time="1.936972236" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.938319153] <Event name="StateInfo" time="1.937970028" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.93993907] <Event name="StateInfo" time="1.939618819" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.941646195] <Event name="StateInfo" time="1.940909736" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.943290903] <Event name="StateInfo" time="1.942968611" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.94465007] <Event name="StateInfo" time="1.944290737" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.946251903] <Event name="StateInfo" time="1.945927862" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.949643404] <Event name="StateInfo" time="1.947349445" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.950629821] <Event name="StateInfo" time="1.950324737" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.951292196] <Event name="StateInfo" time="1.950951529" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.956840863] <Event name="StateInfo" time="1.954146446" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.958892446] <Event name="StateInfo" time="1.95851153" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.961644905] <Event name="StateInfo" time="1.961315613" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.962313113] <Event name="StateInfo" time="1.961984405" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.963888405] <Event name="StateInfo" time="1.963559405" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.964875405] <Event name="StateInfo" time="1.964531239" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.966390031] <Event name="StateInfo" time="1.965791822" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.967054447] <Event name="StateInfo" time="1.966728364" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.968114947] <Event name="StateInfo" time="1.967790906" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.969576489] <Event name="StateInfo" time="1.968772072" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.970537531] <Event name="StateInfo" time="1.970227198" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.972567531] <Event name="StateInfo" time="1.972214614" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.974893281] <Event name="StateInfo" time="1.974169365" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.975574031] <Event name="StateInfo" time="1.975233656" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.977226907] <Event name="StateInfo" time="1.976890615" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.977919323] <Event name="StateInfo" time="1.97755299" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.978829032] <Event name="StateInfo" time="1.978518407" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.980264324] <Event name="StateInfo" time="1.979820407" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.981390157] <Event name="StateInfo" time="1.981025282" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.982077907] <Event name="StateInfo" time="1.981748032" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.983072491] <Event name="StateInfo" time="1.982768865" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.983747699] <Event name="StateInfo" time="1.983402074" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.986210824] <Event name="StateInfo" time="1.985916824" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.986915491] <Event name="StateInfo" time="1.986578033" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.990192658] <Event name="StateInfo" time="1.989873866" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.990897908] <Event name="StateInfo" time="1.990559866" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.991918158] <Event name="StateInfo" time="1.991604033" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.992601241] <Event name="StateInfo" time="1.992276908" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.994899283] <Event name="StateInfo" time="1.99459595" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.995581783] <Event name="StateInfo" time="1.995260075" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.996589784] <Event name="StateInfo" time="1.996265159" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.997336742] <Event name="StateInfo" time="1.996998409" tag="^^^^^" TaskAutoShoot.state="DO_VISION" />
TaskAutoShoot.autoTask_INFO [1.998701742] <Event name="StateInfo" time="1.998397534" tag="vvvvv" TaskAutoShoot.state="DO_VISION" />
